EmployeeHash,Section,JobTitle,HireDate,TerminationDate,TerminationReason
43b0c0c2ee3ef508f1bd8a1e34d1c822b6fb33a62b914b93c31eebf7763e8059,Logistics,Assistant,1997-03-30,,
f14bec8a7212fceab97ba381c021bf5b50defc56b55bf54580714af1ee7473ca,Production,Assistant,1997-05-08,,
af25539f489fa8d11ec33f7b7d97770c16e5476672100b7c8130166941825b94,Logistics,Assistant,1997-07-08,,
7af014471f35218814506385fdc1f3e6c2fe6eadc5f80484da4518de7c9a7842,Maintenance,Operator,1997-08-02,,
290d37cb29f39d2c91b73b151cd62d154cbeb7a17ffc23342e0975d15c8cbbac,Logistics,Operator,1998-02-24,,
5ce1c00fdb4de9f458fe2e264afc1c9b2699285e7c006f233b5b44891dfeeecd,Maintenance,Operator,1998-06-03,,
b31937ff00b8664db9c1122b5fe999699447966997350e01fa1e06bd1f1812dd,Engineering,Analyst,1998-06-29,,
6ba231875654db09040c5b6c5936ec0c8615ebd0d82bf66bb8b40a8ef4f96a08,Maintenance,Operator,1998-11-18,,
7ceac4c35d58ef235959da22fec3364ec6e46edb6baf3504524a8c0254603f3c,Production,Supervisor,1998-12-24,,
5fb17b2a3defaf1244a2b6e1c01f9dd1f73e6ca4360998ef52e4c67dc4ad6200,Production,Assistant,1999-01-09,,
6eb8390afa5fb31b70dd9605d2fdbb217396b32d4f2e05497450e44ae4a7df27,Production,Assistant,1999-02-21,,
1d2fc2484615674ad2d7f64e083f3990443ea00212e798de91814ca28d7710c5,Maintenance,Operator,1999-03-27,,
3f7b5521d182c2c89c1883fd4b4133dfabbdba40af010533a826dd001c734338,Maintenance,Technician,1999-05-31,,
5e0116c49ad21f6a78e63e29583b3506875849ccea03938e6f5ccb1ea98b6003,Logistics,Operator,1999-06-05,,
0ee483dc08d57e5b005ef99377c9e5ec30224e51a65a211638ab8ef5122be2a3,Logistics,Operator,1999-07-01,,
e20c3bdc960a9bdec029e07223dbdfa14ac27a29fa991e08d9ccb9f36393b643,Production,Assistant,1999-07-02,,
66052ceae1be16b362ed11475f189d667dced34d733bade7faa1416840964ce5,Production,Operator,1999-07-24,,
ad00e41752c1a2aed8aa9911588b234594111096692de510c99e2995e547434d,Production,Assistant,1999-11-14,,
88fece361eb3bb41bbaa65c4cebfe51efd5a511ec08621ed4a260dae2dbf29a6,Logistics,Analyst,1999-12-16,,
a629d609ac08aa443150b4a49863c5eea55df318e122b40097ac0d049ab11879,Production,Leader,2000-01-06,,
82fad26f69ee3ce16bcaf2f30dc8ecae6f2a0ea0c9b856829f9b561ef857132b,Production,Assistant,2000-01-26,,
6a51230fd98870a6bbcafab7efa6f85673e6564515409b1c1c564e7a6bb6965b,Logistics,Assistant,2000-02-20,,
27356c733aa4cc9da60f3edc8092b581b58f0aa33b23cf0a27b447819af9f67e,Production,Assistant,2000-03-03,,
456006a175d6732ba155365e5570d1914ad10499fc4058864aef08fae04c46c0,Production,Assistant,2000-03-05,,
9055fc45551abe742542d0d1c93b33573499db531dfb997f519648723dc5a8a1,Production,Assistant,2000-03-21,,
2ca4500e53e5045af5e428780e1c5c8a09b2854ef95dd20185b3fb5a9d99f8b7,Production,Assistant,2000-03-28,,
b0aa13456a68da0ed3270c3ad2df2c3a76fd5aa5c3506684a6fc3d15e954cd18,Production,Assistant,2000-04-08,,
4775c233f9eee76569a9638e452dc0a92f35cf41ddff4cf590ed17e3434729bb,Production,Assistant,2000-05-21,,
8f693eba3195d9b6483dd648d21cf1698cb8552bf91652817e3b4e55de0ab6ce,Production,Assistant,2000-05-26,,
b5caa970a3236b64263d23dfb556ecfef97b6250c642c015df58b18d13fe24e6,Production,Assistant,2000-06-20,,
404c6d6f27a2dbd4c47789264eae1848fb6d7aca92b8a26f981534d8e1930ffa,Facilities,Assistant,2000-08-16,,
67419c79368f9c8106c7d370d69a116b0676a118084213823a076ba5226463a4,Logistics,Operator,2000-10-24,,
d70cdc1a6f5194dcb8d9e3e20fbf24eeefa435192a95e7a5a96fd7f211854052,Production,Assistant,2000-10-27,,
a8e9595a5967f5738510ca1c8b7a6a41daba40540d276785797d3412bc04b831,Sales,Salesperson,2000-10-30,,
7a6a738000ee52e745c2e9836050fc38459aaa30b6f8811f66b2b15cfff1b87f,Administration,Manager,2000-12-05,,
fa4c73cd04948c0276d21ceccdb19ab6871c26e86175b360bd4aa5d0cf78a928,Production,Technician,2000-12-07,,
2cf2d605596e11bba04f9b172de4578bc87800ada14bd0d65c542d554b2395d1,Environmental,Operator,2001-01-30,,
691aaf745c0fd2f24bcbfb3abe724669fe285a8eda7626c40122158a985b4d7d,Production,Assistant,2001-02-14,,
8852a2e7f03f971f21eccf2c66bbea3d84dafb91e7b8682ff3ef902b78df2237,Production,Assistant,2001-02-27,,
19e7935e503e249ee794e0c8c9f9166fd6395565d76896f6829f525351667250,Production,Assistant,2001-03-21,,
a6feaf06d0e1f145f896138ef710c666679f6bc13aeea462cff53a8c48280461,Administration,Analyst,2001-03-31,,
6900a2ad8a3519b6752dd0f38e198ba9855d7b17ab4d753018c62c73fa9b4be7,Production,Assistant,2001-04-09,,
9cc4efdf049f0b5ab37f228e0919b2b677c6f467c26225a21a29174b3e882dd6,Production,Assistant,2001-04-14,,
86deda12168f5bd3e101d5e8b15e8e614d455282bdb55cf614558411f4a4b8be,Human Resources,Assistant,2001-05-11,,
165855de69aae3045214374ffe7202b3ea9bb3c51f69eeb9bd78a6d867524f71,Production,Operator,2001-05-24,,
ffb0924ac10a9543233e9635487170887c0746a1627d33028cb01f65b9fa9e6e,Logistics,Assistant,2001-07-31,,
5dc6b4fb8ef9b14507488609b612c130575059614d364c11e627f045199f62ba,Logistics,Assistant,2001-09-23,,
468d59be82dab016b651c204a48baaea212f90982172e66d49c1ebd4e5a4133a,Sales,Salesperson,2001-12-10,,
a17a73294fdfb4671a0ccf2484ad16df1c2541ab42191b22005cf2d8eccded37,Production,Operator,2001-12-14,,
08138c8403a0dcdd9c345cb2a93a5b20a386645a7a54408758f4db71f38da725,Logistics,Operator,2002-01-12,,
c2056f2e07a948d78fac80f67d7d58b45a54f9486f37b4b9b09ca4bd900c1d7f,Logistics,Assistant,2002-05-30,,
3afc7e0c9f7c990ce041c4daef86a100d060907006573fb64a573d5907246649,Sales,Salesperson,2002-06-10,,
37370952af75a4d7bee45596279717b84232960928e3f75d4989698c879df37c,Maintenance,Supervisor,2002-06-20,,
93aa6960e6b17907014d117c41f4368dbf248290ca25aa8a5ec9cff0e279ac3e,Production,Assistant,2002-06-24,,
594fb5e9132d3bcf4d6658ef040432c4129950c2b28916a02d9d5a07e28b2a31,Production,Operator,2002-07-01,,
4e5be9e529d36f01087c5398b859635420ee76b69c62b6f53df62086f91fa379,Administration,Specialist,2002-10-08,,
52ae8f9b0399f3d6fd274fe6b406f85cecf0b181b7b368fdc13f4db6626041f1,Production,Assistant,2003-02-16,,
9ffae40c58122a6d6415a74ea081be56d6bd4299e5d44117c82b9972fb728540,Maintenance,Operator,2003-03-05,,
b59bf7e75833a035565bd51affcf46d8707c0cd91a36e58380bfae4ef32d5f10,Logistics,Operator,2003-03-24,,
c693e231178a6d60edc5b80c5a23ce92643209da6a0fdc0e6857b8f77dba844d,Logistics,Leader,2003-06-06,,
f3e92592d759024eb43b97eb96ba6ee1ebd2773e4caf045c0846cba3651d84ea,Maintenance,Technician,2003-07-17,,
6988645848ad6e3672367e13a59db11d4124cacd6d2fd8ffaaef89ded5cb651b,Logistics,Operator,2003-09-18,,
ce1cf221bbb5c39e46414dce2d42186e87617cec634de64b2c217fc18d795338,Sales,Analyst,2003-11-02,,
508dde62f0202a8a2bfbfbb88ba86e91f6d0bc27838613e4934b1b1eb9fdcb54,Production,Assistant,2003-11-10,,
97b1485fa8f57053e315145cc229d458abf6bb4ffc38e59d539dd74b3b9643fd,Production,Assistant,2004-02-21,,
d3d7870a5d604ae7ee71cf06f16c0a9bb34ed2bc9433a737a3a9871aeac3d6c9,Production,Assistant,2004-03-25,2016-10-29,Resignation 
6e3e9e806d75579e985d899088f62f247746e0b26fe0cd1e0c608482905e8292,Logistics,Assistant,2004-04-25,,
f3df07f0696fed28b6629fb733d63c73eb9ee0383df547d88f3da54ce8d07ff0,Production,Assistant,2004-06-02,2016-08-26,Resignation 
c181ed5f779f581ada57ad68dcaacbb17aef51894ccc631b9861c677a42a72cc,Production,Technician,2004-09-02,,
cbf42d7de9a5a136a049be4c4122d561d46be47f7894b597c287c339bdd73cdc,Production,Assistant,2004-09-07,,
802a8dfa640f1c79420a2b8fa102593db2a35108ed8bfdc66c768351fa97ceea,Sales,Salesperson,2004-09-16,,
85ef0323dcf81e4b6d5bcf064adf28e14ecf9a2ae52d0931b9b69a0043684a0f,Logistics,Operator,2004-10-16,,
7ffa042c1c6ab293e3b7a70b0e748a4f24a554358c82c38e2cbae6530897a161,Sales,Salesperson,2004-11-30,,
de0dd3709b2553a5a3f625a0a8778694601927974415acee32b50f4f1adad8fb,Maintenance,Operator,2004-12-14,,
9cd8dd4d83fc9af22c67e26445e67b0216ca766a6b12711702b6e09e0bed813f,Logistics,Operator,2005-01-02,,
f537124c0adf812de198d929d3a7e577c38864899cecdbb5e622ee51c1e72f76,Production,Leader,2005-01-06,,
9cd7965baaadf873cf1c82df06ada754931f7cfafd6426f7afe2841556251ce0,Logistics,Operator,2005-02-23,,
fa521e89f2191ece86cd14409ec5d369c092fe8e37a81e3de7226faeac594f1b,Production,Operator,2005-03-22,,
126d82125689be1b60076f2ec934e290fd7e4e7381b2db703e95c0946b14f0bd,Production,Assistant,2005-04-14,,
1a4220f319c869e7b20fcddd256ffca1f55302ea66faf4e8d97d4991efb1f57c,Sales,Analyst,2005-04-20,,
987e28c0e6e83ebbe08132fd1c26cf61acb23b100234201d2a9d2541057397c0,Production,Operator,2005-05-21,,
4e0c3b4e981a5fe086338cb5f209a0e6f44b16b2471dae00bb1f2615ac2ba8a8,Maintenance,Leader,2005-09-04,,
a1753a55a0647a41e7ce6d15339d83de30687372558e06f127756afb5082c08a,Production,Assistant,2005-09-30,,
b0b5ea5765944948edda263ec0d303d06765de97530f9650094ec84d0328e62c,Maintenance,Operator,2005-10-25,,
f57af3513ea0dcb218156e6a03a3d91ea364d5f2483b7e2e1324351d38a07f6a,Production,Operator,2005-12-13,,
1e715c6ad333ddfad287a71c2d24ca1a3abd6907ed16dacefd83d1d78455ba2e,Production,Assistant,2006-01-02,,
703bd150e8ad458ff76703ce8896882ab63cf017061eb03b769312e42b5941df,Production,Assistant,2006-04-12,,
87aadc97b81cff91d099616b5343b7aca751d697994d1d24a95141427b657592,Production,Assistant,2006-06-05,,
ded806cb781471ff6aad002c6df4fa98eb5c58c1b09a956a6e44fa68529f7ec2,Production,Operator,2006-07-22,,
14d47a210c30f44cb74d54722ca845eb2e2842fef9cc14a1851c17a5dbf51247,Logistics,Operator,2006-08-18,,
dc13bd38e9acde0c7c9f606fb01e9dd0402de7e32d59a28d08fe4ab8bd8208fe,Production,Assistant,2006-08-22,,
a0fa4159e7c51cf3b8bbbbdad256d504aefa9e62a1380ac6bc8beeb2654c605d,Production,Assistant,2006-09-07,,
1c3d58e0d3a47adf66fda95783b3091214dbebe4b6c88a4bfc96c06324a938d9,Logistics,Assistant,2006-09-12,,
563840bc036d5d917e55f9cfc2c781abdd5bf6f8862b5229f7c64f82f620e87f,Production,Assistant,2006-09-20,,
abba32d9e96e8995e3012023a5422ec53e96652f3282b003ceaf538ea95fd854,Production,Assistant,2006-09-27,,
d883a59afca347ef4cec2eede296a3df1a011fb7fbc262c0156c55a3e66c37be,Production,Assistant,2006-11-10,,
b68504f059f1ab4ea60244fd36917fa0fe65fd5bfada917849c58d8b2b318b57,Production,Assistant,2007-01-03,,
f42e21abdad6fe460c61ab4451739967c8bb0faa8a21d45bf95e3e25371d5891,Production,Assistant,2007-01-27,,
237a37ec6de48c5c781444b9a56ec1d1e006d55470c99a84ea46271230bb74b6,Production,Leader,2007-02-02,2024-06-17,Layoff
b8870fc37ded18803dd9402784afc1b48de0d54e8d7a17d41615c201f61f6f7d,Logistics,Helper,2007-02-22,,
fcac9692f2003ca37b3a54b40f463848536272211f4f70f9c816e7136958f8f7,Production,Assistant,2007-03-02,,
9466fa2d18a2109de6c397e366962a0cda3becfbbf387976cc201577e513dd0d,Production,Analyst,2007-04-24,,
6f657f3fbd7355af673dccf21e35fdd5989cdb1c2a29f92e12d1dfeedd05eb72,Production,Assistant,2007-05-01,,
ba957c01d30b7d3f57fe4c2551c8ac4f5dc3002b6a1e01837d8d7e3c8817892b,Sales,Manager,2007-06-06,,
22751826e7dd3408a04086957c871e4263b88740cacfb68f707c9d6edcdda782,Logistics,Operator,2007-06-17,,
85ece80969c13bcc4f79672ba80334b9916f28240a2a987370ee04f6479f9605,Production,Assistant,2007-07-13,,
6d8c9d2e78e48c672b03d2b210062df6662f43a2bf40ee97a183db810bb6cc75,Production,Assistant,2007-07-24,,
0d3d4b70b27d8a0b46d00345104405c25d81787ca3d70b2eaa6f06589f077183,Production,Assistant,2007-07-28,,
7e30174cf85440af1fca8dd6d9f3ae73bb829f0f3eaca507d018a70e95b1e36d,Production,Assistant,2007-08-03,,
70cb9683c3ed8a6744c56ddd581db45e5530de0e5a5e2a03bc0fcf5915d44b1a,Production,Assistant,2007-08-13,,
522e40d4f3868797a3a79ad6a28e4fc87ee24da602438a28b78d792eeaaeced6,Administration,Analyst,2007-08-18,,
7c97853903c70eeb19b44c0da5986716e49810fc2b21d62ee2ffd0a665627442,Production,Leader,2007-08-30,,
41da00cf1e46463c01b61c0bf9d0408b6c458bb6cfceb397ad2dab3e78173a2d,Production,Assistant,2007-09-03,,
c7d14f9494c26692098751b6eb0658a32e5ebb8cf15e5a4cecdc220563d61e4b,Production,Leader,2007-09-12,,
c7779121adf19a46e75b039c7f841a11fbcf0a98a125e826f0700eebea44403a,Logistics,Helper,2007-09-12,,
b3a2be961dc5e02b1470b6e253a47657244feda3876a07413e17acfe26ba03a5,Production,Assistant,2007-10-01,,
7207ab6b2f4bce4331d68e1ced440db79bd2e477517daf2208429d38659ecacc,Production,Assistant,2007-10-31,,
9a69ec217819b0cc562e8ba9e3feae762026d5372c345a7447715e83a31414d1,Logistics,Assistant,2007-10-31,,
01cf52eba472256d07a251a93da8aa7e1dc34b8bc37dec7b0f034a51589cd866,Logistics,Operator,2007-11-09,,
917b62a0daed4aa59b811929873bfc66f18d179729bc2bfdd9f6495e975df5a7,Logistics,Assistant,2007-11-18,,
1492189319a5594b53f61e1b02f062b98335d42ac365505a1d80a74ef3df5cda,Production,Operator,2007-11-25,,
0987efa1071f72715060e74aa34e097bb4b1474d267c2e89ac471c8de8371f6f,Administration,Manager,2007-12-07,,
f7706cd845c26299973c78c618c69a623d3e9fbb7ca0c70f5230295f2c32f580,Production,Supervisor,2007-12-24,,
d6649550965abd499fcea7663f668619aed25253780a9776be6a1f7983d4cc97,Production,Assistant,2008-01-05,,
1409ddb499059d7fd1f342be58fff5fbb257f1ad6e9ef28e558f902070d9dae9,Logistics,Operator,2008-01-31,,
a74587d87d7b1e6e1ef82b0be956211e5e630707027a368b608d799bb8c370af,Maintenance,Storekeeper,2008-02-07,2014-07-31,Layoff
8f2b2aca02e8e8adb70dbb9e3f280a1fc789505db4534afa2d6e1d922f4045bf,Production,Assistant,2008-03-06,,
b22055c84384707d2ee02897739496694c4b3de66f3cb353d29dc5b8be0c59c9,Sales,Salesperson,2008-03-08,,
47b57061c66aeb67c50075793c607c3c608c0ec21e9dd565ebabe274b17815d7,Production,Assistant,2008-03-12,,
e6cb4c687029e490ee4d1de99e90837d6b25e0c73c3a1b258c2f94c8028b966e,Logistics,Operator,2008-03-13,,
ad1c9110750cdc3246813c7219e66161ea749a71a913017bdd3bd0f13083b37e,Production,Operator,2008-03-15,,
436a615821584d38b30dbac7c29776bd0d1caa7e083314823df79ed1b14cd25c,Facilities,Helper,2008-04-09,,
d7473c7003f6776b4e7667b196eacab52fe2c42d363fab17199488af6ff4720a,Production,Operator,2008-04-14,,
c368e09eb2820e2d7d3aa9c7ae2594cdeedc1c54c3143775891afd5047b3d231,Production,Storekeeper,2008-05-08,2017-03-30,Layoff
8bb0d47fbcc86c71aa9d063857fbd5a96f7ca6c365660c94115d760d8bf28a8a,Production,Assistant,2008-05-23,,
b38dd7ac94fe284843388fdd261d85482f58dab324507a5a6fe87d16c3da6aa3,Facilities,Assistant,2008-06-06,,
44e5e47ad980f1f9136ed951d3088cd52f30223b6c2e030dedac56c1504c9732,Production,Assistant,2008-06-23,,
53776352ca8a9238f6ebf51f87637585288f765b93ec0d2280b3774e07e55cfb,Production,Assistant,2008-06-25,,
18086f285a900f4ed499f8fd44cd96c6f42a0ad89423731a4a916f343e52b4af,Production,Assistant,2008-06-30,,
6ec82619179ec46c7a0880de159cbc2c88ca45a708588263fd36586078043589,Logistics,Assistant,2008-07-14,,
36f12ea99924577b9b0519945745b2350b4d080ddabc8ed1b19e68d9b8682b54,Production,Assistant,2008-07-15,2016-10-20,Resignation 
12cae37425e9d1c819fbfba03ad1f44bd76f9ffbf2178a99f1d6eadcfaeac2dd,Maintenance,Operator,2008-07-28,,
9a8500c7f57689564f5364ed75c1ff27b64f733e6d534c130c00b98dba7796ff,Production,Assistant,2008-08-02,,
920868855740d032d7b7865c3eabc29028f04f022020d981d971ded83dbd97c4,Procurement or Supplies,Manager,2008-08-06,,
6b43e29d1fbfd3dabd65003c4f5c43e789ad234ffd03e09c78e5d233cd940328,Logistics,Operator,2008-08-13,,
64bbad2b1d624700f051c942c91cbff4cf4f3970fbd2d8d8c11a8a241cdfdd4b,Facilities,Assistant,2008-08-25,,
165bda8c374b0cb5cf89d2d9d6ffbae7e4a2f82d4117e3fb24f67db3b685e9b5,Logistics,Operator,2008-09-06,,
69a399abe52f9fab78d2862f74df8b946fe1a2410258f6d33a8b54d5a3477c71,Quality,Assistant,2008-10-12,,
dff44c1b87299f38af13093f039beb876b8cfe1d6eb3bb636e7c2311188c656f,Production,Assistant,2008-11-08,,
8ac743d1fdface06f1eb13fdb95602c8d24e82d19b2387aa8d8d38b8e69ddbc9,Logistics,Assistant,2008-11-11,,
21b47abe42e1a908e32a66b980b86310e2cb13a3c95c541a4a1514b33ec7c006,Logistics,Assistant,2008-11-14,,
7cdab364753b0728d87acf8ca0c9a0840dbe72b6f75ecb2295dc82fee89d59a7,Production,Assistant,2008-11-20,,
f7cb01457f9ee809aa93e520a4169030c0fd94683fd6d265e8ca0a34e74d15b9,Production,Assistant,2008-12-01,,
628ef56c62061803e3cf0166edda2083d611991eed3f54e28b7362ffab24c5b4,Production,Assistant,2008-12-15,,
a364b96bf0a8dcbc532ff420def3a44007cb7a8d256d8de1d7e1f2d6091ad919,Logistics,Assistant,2008-12-22,,
fa4d66d2a28a0911ed414f3b8be69f85d6322f578870f74b6722bc5970474dcf,Production,Assistant,2009-02-03,,
1ebe925ef5571eab77025badd8395c74ba477514cc8caf381bd5365740f0a100,Production,Assistant,2009-02-24,,
8d6feb4a96ef8827150a1e5c1b3faee68fb298ae483a853f3e7423873d0f235f,Production,Assistant,2009-03-25,,
08d3b76d29aab22b3e5ac3e5068ae063661ebd8d0a14dcd6d6cacff281a43606,Production,Assistant,2009-03-27,,
561798380bc7578ae1efdf11a81a0f7edd3c1ad34e3a78d2e289a3a687c0a46f,Production,Operator,2009-03-31,,
900f1d4e810d22a50255e81a0a1c99e938a93b50cea5a9033199fa3f33b1e54b,Logistics,Operator,2009-04-01,,
fff6c355f2a62a01c14062c0062e5d61b856ba0f5e2770366b91a9313a965794,Logistics,Assistant,2009-04-08,,
e66590840a35eea722d730e77bd960046a53e3bdbc2589488b631f4fcbea100b,Administration,Assistant,2009-04-14,,
2b565f84f99686dedc037b29ad81be7b98558c47c81a77c8e859d80dfb43867f,Production,Coordinator,2009-05-01,,
7abf9861507f31a12f4d3a8fce8a1d788cf37671bf71c953cfd1d45ca2c47429,Quality,Assistant,2009-05-12,,
48258ce2346681b6336f3bd0ffdc7ac474cd6a4a0ebaea761e0e317d0e3ae927,Production,Assistant,2009-05-25,,
72f683d65f8ae0cf1327e54fd0bfc831d2526bcc87672372a2aa1ecda62b1d8a,Production,Assistant,2009-06-01,,
f42ff83723d437948af86dec543808222c5ff58b27950fc9d7cdd50ff465dd4c,Production,Assistant,2009-06-06,,
7aa62bf58b3609ff93117b15431100acb11c822ff6b8ac430fefc378c22fc49c,Engineering,Analyst,2009-06-26,,
2e22413c44d6ec730f332e8a35d2cd01500a01ec6ab0e9b170a9bc765cff809d,Production,Assistant,2009-07-16,,
f38ce822aeda8dc70ae7f9b3a251a5a727aaa7b0b51486a561905852c4d9ecf2,Logistics,Assistant,2009-07-16,,
794ee8dd982a397c68c041db7142762e5494f8623b397a0d919b4de76959ae64,Procurement or Supplies,Assistant,2009-07-19,,
d21a2beb2d4e039e70ea24b2d5d90dc976ce0f7b314ce641b8852fdc902f0048,Production,Assistant,2009-07-23,,
a3e41d8ccf1c08005e3ae5c237b5a5f20224bdcb2bf3528fb5062faabc766b60,Sales,Salesperson,2009-08-06,,
a97e7f5f21eac03ea114325919849ddb1b0a30969e8ea5208f796203515819ad,Production,Storekeeper,2009-08-28,2014-05-02,Layoff
9014a219084ced27da89badf77760bb377908d318e8302ad14432c4109bef4b4,Production,Storekeeper,2009-08-31,2015-06-20,Resignation 
6b327bf048bbb1f8c17796da1f66a9d84faaf921e99f12d1d5ec75110dc3ba7a,Production,Assistant,2009-09-13,,
dbd68c49df1cadea002117eef133306aea5cb5dde7b503a9923b203b797417df,Production,Assistant,2009-09-15,,
8d71951828a0314340d4f2f0866458ef2cef301c3c6d115ccda27bbc2b4ac63a,Production,Assistant,2009-09-22,,
abf0d7e587cf9ddabbdcec8e388e6e55b37697155dc09f1ae78823881e5a02a1,Production,Storekeeper,2009-09-27,2014-09-18,Layoff
77e6767825cfdfa1c51a54c978b18b36aab6b7220f5c34d138903f5443424ded,Production,Assistant,2009-09-27,,
207d4934b18f9d3247498d8be8e4954f3f1c8e2feb81e3a5ee234c6c9e7e983a,Production,Operator,2009-10-18,,
ae94d6b5995bbb366e0d6521d99018ec04fcf7b1edd5a3ec3f748c0f2b8235a4,Production,Storekeeper,2009-10-25,2015-04-28,Resignation 
5c5eb818262efb2de99a8ef7c05917448e52507a9c9b624b2ba8ca5b74d846eb,Production,Operator,2009-11-06,,
35ead18663bf90ad3c1567be6820b3e2229b951756bbb847dcea61437babb98f,Logistics,Supervisor,2009-11-08,,
ef5510da266abfd40372d3f9983e3362dc5e18f78058a829889287ce8837a8ce,Logistics,Operator,2009-11-16,,
1c187944e802096491c0b3eba583a047851a8ed69b84e500e0b14c7e31e4358f,Quality,Assistant,2009-11-16,,
b3dbaf5a07d7e9fd16d774a37d42e2c6ad1d2a7a549acabd6c7dba820c13a36c,Production,Assistant,2009-11-22,,
f078a93fc29dbbbb103f6de29ece64fc812ed49935d1a5c6c5e9184227092795,Sales,Supervisor,2009-11-24,,
e42cab90f0cb2c843f8e5b27e5a586455778e5fa4db20513354250449fad58ef,Maintenance,Technician,2009-11-30,,
8b392320381add7cd01cc0d1cf312151be25be3b53c652a007d7b14765b4612f,Production,Assistant,2009-12-01,,
41cf4f043a495046c081e0710ac814a90de50f0a27c3f4c170de8930e72b9ea0,Quality,Supervisor,2009-12-05,,
a3aa8ecdfee9542edac77083c598b9457571020ff5ff063ec7c040d48ba8fe63,Production,Storekeeper,2009-12-11,2017-02-10,Layoff
78d4d53de95985d680039380596b344fa906dfef7f928f1b0576f51583036b67,Production,Operator,2009-12-25,,
6e2e6962a24d135ccc7654e299683ad870430291b3d12cce06bf1cfdb58a2289,Logistics,Assistant,2010-01-03,,
7ab5865d97f3ce7c46f2768608ca919f287f503a5db9bcd055f09efacac8bd0c,Production,Assistant,2010-01-08,,
2e6f1a0c09b06047872f1eef38f64691805d0b1b913567eda1399fd7d187930f,Logistics,Operator,2010-01-20,,
dfaebdd192a9c0fbec73f2e2d894684992db5d37339b7f75c1d6e412e7d23393,Administration,Director,2010-01-27,,
67fd0983f6ab284099377e3bc423196c7b8a6e0bac59dc235308e2bb1da38a4c,Environmental,Operator,2010-02-12,,
b0d41425a6c64f8b6a247a88fc8a4a83b6ce50f3d7e0189c3c50d553dbbd6409,Production,Assistant,2010-02-21,,
545c92aff1118bd09a4d5674d26646a9633d765dd812278954d565cc79491d30,Production,Assistant,2010-02-26,,
b8795282d3cf3f148bd89e902a8a5c5944d83c96d7d9814b1b02049c68d9cd46,Facilities,Helper,2010-03-07,,
4fe51ecbfd4b530f37113235b8e5b05337644687d0d57ab2a4c0f6142c1daa41,Production,Assistant,2010-03-18,,
ccb23bcf3ed0f049e69c554e3c10631bbbaebee7cecd7bc52e50373d1ad66e59,Production,Assistant,2010-03-23,,
538a83e8a96c4d1ef04a6ebb8aab29781cda92fea9145b2f407bab787405aa03,Production,Assistant,2010-04-01,,
ebc9f23975bc7772c85c77fc28ddd11c9bdf01b2e0733d529ad8fe050e6b93ca,Marketing,Supervisor,2010-04-17,,
b592e1ede58d7b5a5d6cae50d125b4ed1fdd50cec23c1bea1db827c2ddc3c85f,Logistics,Assistant,2010-04-17,,
